AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
MKT0019,CHAISE EN PLASTIQUE BRANDE VIVA,108.0,108.0,0.0,7,15.428571428571429
OLNPAL,PALETTE OLAND,108.0,115.0,8640.0,26,4.153846153846154
7004,PAPIA 3 PLY WR TOILET PAPER 12*3,100.0,100.0,6276.0,4,25.0
MKT0020,PARE SOLEIL BRANDE VIVA,100.0,100.0,0.0,4,25.0
10001,Filet de maquereau Marsa huile végétale 125g,100.0,100.0,30937.5,2,50.0
PALETTE_N,PALETTE Normal,97.0,97.0,0.0,15,5.388888888888889
3003,MOZZARELLA FONDIZ 1KG          10PS ,96.0,96.0,37536.0,9,10.666666666666666
N-4004,OLIVES NOIRE RONDELLE 5/1 MABROUKA,92.33,92.33,13849.5,12,7.694166666666667
N6002,MOLFIX 3D UV MINI 76X3 JUMBO MA,89.0,508.0,14666.01,16,5.5625
DAKH-200,DUBER AMLA KIDS NOURISHING HAIR OIL 200 ML *24,81.61,82.67999999999999,28350.04,31,2.2056756756756757
N-7011,FILET DE MAQUEREAU AU NATUREL 125GR,80.0,80.0,23166.4,11,7.2727272727272725
3002,MOZZARELLA FONDIZ 200KG         48PS ,71.99,72.0,29152.340000000004,10,7.199
N-1044,FILET DE THON HUILE DE TOURNESOL 125GR LN JOLY 50u,70.0,70.0,39958.8,9,7.777777777777778
DER003,Dermoviva SKIN Superfood True rediance Face Wash Turmeric 150ml,63.36,67.47999999999999,30046.35,28,1.7124324324324325
N-1041,MORCELÉS MAQUEREAU À LA PROVENCALE 1/10 JOLY,62.0,62.0,6014.0,14,4.428571428571429
PPRF010,TRIANGLE EL MEJOR CHEF 64P,55.0,55.0,1966.25,3,18.333333333333332
MKT0018,PARASOL BRANDE VIVA,52.0,52.0,0.0,7,7.428571428571429
MKT0017,TABLE EN PLASTIQUE BRANDE VIVA,52.0,52.0,0.0,7,7.428571428571429
N-1033,THON SANDWICH À LA SAUCE TOMATE PIMENTÉE 1/10 JOLY,52.0,52.0,6916.0,16,3.25
N-4010,OLIVES NOIRES ENTIÈRES 5/1 SESTA,50.0,50.0,7500.0,6,8.333333333333334
HOC500,Vatika Naturals Hot Oil Treatment Hair Fall Control Cactus & Garlic 5,47.0,51.42,12849.65,31,1.236842105263158
3007,Ketchup 12% Fondiz Bidon 2.1 kg     6PS ,45.0,45.0,4036.5,7,6.428571428571429
3005,SAUCE MAYONAISE FONDIZ 1.95KG     6PS ,45.0,45.0,6155.1,5,9.0
N-1003,PETIT MAQUEREAU ENTIER SAUCE TOMATE 125 GR LN OF SAMAKI,44.0,0.0,7333.48,1,44.0
HOG500,Vatika Naturals Hot Oil Treatment Garlic 500 gm,42.5,49.0,11676.949999999999,29,1.2142857142857142
HOA500,Vatika Naturals Hot Oil Treatment Argan 500 gm,40.38,50.05,10718.14,29,1.0913513513513515
HOA505,Vatika Naturals Hot Oil & Thickness Coconut & castor 500,40.0,49.0,10749.9,29,1.1428571428571428
HOD500,Vatika  Naturals Hot Oil Treatment Deep Conditioning Olive & Almond 5,39.5,50.0,10483.84,29,1.0972222222222223
HOE500,Vatika Naturals Hot Oil Treatment Egg Protien 500 gm,37.0,50.0,9858.59,27,1.088235294117647
HON500,Vatika Naturals Hot Oil Treatment Intensive Nourishment Honey & egg  ,36.0,49.0,9819.08,24,1.2
HOA506,Vatika Naturals Hot Oil Treatment  Black seed  500 gm,33.5,43.0,9091.429999999998,26,1.0151515151515151
DER002,DermoViva Skin Superfood Moisturizing  Face Wash Avocado 150ml,30.0,33.0,12376.900000000001,10,2.142857142857143
HERB225_COCONUT,Herbolene Petroleum Jelly-Coconut 225ml,29.0,65.0,0.0,9,2.6363636363636362
HERB225_ALOEVERA,Dabur Herbolene Aloe Petroleum Jelly Aloe Vera 225ml,29.0,65.0,0.0,10,2.4166666666666665
HERB225_ARGAN,Dabur Herbolene Argan 225ml,29.0,64.0,0.0,10,2.4166666666666665
PPRF003,BLOC FUNDIDO EL MEJOR 1.8KG,28.0,28.0,2230.0699999999997,8,3.5
HERB225_COCOA,Dabur Herbolene Cocoa Butter 225ml,28.0,65.0,0.0,10,2.3333333333333335
N-2009,CONFITURE  MYRTILLES 21CL DELICIA,27.0,27.0,2187.0,12,2.25
MISG250,Dabur Miswak Germ Kill Mouthwash 250 ml,26.75,26.75,7577.110000000001,13,1.7833333333333334
MISF250,Dabur Miswak Mint Fresh Mouthwash 250 ml,26.64,26.88,7779.99,16,1.48
N-1009,"MAQUEREAU HUILE VÉGÉTALE 1,7 KG JOLY",24.0,24.0,4320.0,5,4.8
N-2010,CONFITURE  MYRTILLES 37CL DELICIA,22.0,22.0,3135.0,11,2.0
VNDA180,Vatika Naturals Anti- Breakage Conditioner Moroccan Argan 180 ml,20.0,29.0,4628.28,14,1.1764705882352942
MKT0021,GILET JAUNE BRANDE VIVA,20.0,20.0,0.0,3,6.666666666666667
VNDE180,Vatika Naturals Nourishing Protein Conditioner Egg Protein 180 ml,19.13,29.0,4409.9,14,1.1252941176470588
VNDC180,Vatika Naturals Volume & Thickness Conditioner Coconut & Castor  180 ,19.0,29.0,4376.86,14,1.1176470588235294
N-2015,CONFITURE  FRAMBOISE 37CL DELICIA,18.92,18.92,2696.1,8,2.365
N-5007,DOUBLE CONCENTRÉ DE TOMATE 90G DÉLICIA-VERRE-,18.42,18.42,802.48,6,3.0700000000000003
VNDG180,Vatika Naturals Naturals Hair Growth Conditioner Spanish Garlic 180 m,18.04,29.0,4134.98,13,1.1275
DER004,Dermoviva Skin Superfood Oil Control Face Wash–Green Tea ,18.0,28.0,0.0,5,3.0
VNDH180,Vatika Naturals Henna Conditioning Conditioner Indian Henna 180 ml,17.0,24.0,3851.2,11,1.2142857142857142
AQUAFINA,AQUAFINA ,13.0,0.0,0.0,1,13.0
5001,FAMILIA LET WIPE 90X18 MINERAL_NEW ,10.0,50.0,1057.16,2,5.0
HCTC140,Vatika Naturals Volume & Thickness Styling Hair Cream -Tropical Cocon,10.0,10.0,0.0,4,2.0
HCNP140,Vatika Hair CreamNourish & Protect 140 ml Olive & Henna ,6.0,6.0,0.0,4,1.2
HCEN140,Vatika Hair Cream Exit Moisturising 140ml Almond  ,6.0,6.0,0.0,4,1.2
HCBS140,Vatika Hair Cream-Black Seed 140ml,6.0,6.0,0.0,4,1.2
HCFC140,Vatika Hair Cream Hair Fall Control 140 ml Cactus & Ghergir ,6.0,6.0,0.0,4,1.2
GELSH250ML,Vatika Hair gel Strong Hold  250 ml,6.0,6.0,0.0,4,1.2
GELWL250ML,Vatika Hair Gel Wet Look 250 ml,6.0,6.0,0.0,4,1.2
GELEH250ML,Vatika Hair gel Extreme Hold-250 ml,6.0,6.0,0.0,4,1.2
HCAN140,Vatika Hair Cream Anti dandruff 140 ml,6.0,6.0,0.0,4,1.2
HCNR140,Vatika Naturals Repair & Restore Styling Hair Cream -Honey & Castor ,5.05,7.05,0.0,4,1.01
HCAR140,Vatika Hair Cream - Argan 140ml,5.0,5.95,0.0,3,1.25
TV_DABUR,SAMSUNG HD TV 32,5.0,5.0,0.0,6,0.8333333333333334
VNDB180,Vatika Conditioner Hair Fall Control  180ml,5.0,7.0,0.0,4,1.0
N-2013,CONFITURE ABRICOT 66 CL DELICES DU SUD,1.0,1.0,75.33,1,1.0
N-5010,DOUBLE CONCENTRÉ DE TOMATE 1/12  MABROUKA,1.0,0.0,64.0,1,1.0
N1108,MOLFIX SWIMMING PANT 4&5 11*12,0.0,20.0,0.0,1,0.0
DER001,DERMOVIVA FACE WASH NUTRIENT DENSE POMEGRANATE 150ML*24,0.0,2.0,0.0,1,0.0
