AR_Ref,AR_Design,jours_avant_rupture,jours_estimes,StockFinal,rolling_mean_7
VOL200,VATIKA NATURALS OLIVE ENRICHED HAIR OIL  200 ML,365.0,365.0,320.5,0.2857142857142857
VS100-D,VATIKA naturals dandruff guard shampoo lemon & yughurt 100ml *48,307.5,307.3,131.78,0.4285714285714285
VS100-H,VATIKA naturals hair fall control shampoo catus & gergir 100ml *48,365.0,365.0,636.98,0.2857142857142857
VS100-N,VATIKA naturals nourish & protect shampoo olive & henna 100ml *48,365.0,365.0,1185.67,0.4285714285714285
VS400-A,VATIKA natural shampoo almond & honey dandruff guard 400ML *12,365.0,360.9,267.13,0.7142857142857143
VS400-D,VATIKA naturals dandruff guard shampoo lemon &yoghurt 400ML *12,242.9,234.9,173.5,0.7142857142857143
VS400-E,VATIKA natural shampo honey& egg repaire& restore 400 ML *12,268.0,274.1,191.41,0.7142857142857143
VS400-H,VATIKA naturals hair fall control shampoo cactus & gergir 400ml *12,205.7,206.8,146.92000000000002,0.7142857142857143
VS400-O,VATIKA natural shampoo olive & henna nourish & protecte 400ML *12,217.0,219.0,155.0,0.7142857142857143
VS6ML,Vatika Shampoo Nourish & Protect -6ml,365.0,365.0,17662.7,0.7142857142857143
